date,name,isHoliday,holidayCategory,description
2016/1/1,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
2016/1/2,,是,星期六、星期日,
2016/1/3,,是,星期六、星期日,
2016/1/9,,是,星期六、星期日,
2016/1/10,,是,星期六、星期日,
2016/1/16,,是,星期六、星期日,
2016/1/17,,是,星期六、星期日,
2016/1/23,,是,星期六、星期日,
2016/1/24,,是,星期六、星期日,
2016/1/30,,否,補行上班日,
2016/1/31,,是,星期六、星期日,
2016/2/6,,是,星期六、星期日,
2016/2/7,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於二月十一日補假一日，調整二月十二日為放假日，並於一月三十日補行上班。
2016/2/8,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016/2/9,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016/2/10,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016/2/11,,是,補假,
2016/2/12,,是,調整放假日,
2016/2/13,,是,星期六、星期日,
2016/2/14,,是,星期六、星期日,
2016/2/20,,是,星期六、星期日,
2016/2/21,,是,星期六、星期日,
2016/2/27,,是,星期六、星期日,
2016/2/28,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於二月二十九日補假一日。
2016/2/29,,是,補假,
2016/3/5,,是,星期六、星期日,
2016/3/6,,是,星期六、星期日,
2016/3/12,,是,星期六、星期日,
2016/3/13,,是,星期六、星期日,
2016/3/19,,是,星期六、星期日,
2016/3/20,,是,星期六、星期日,
2016/3/26,,是,星期六、星期日,
2016/3/27,,是,星期六、星期日,
2016/4/2,,是,星期六、星期日,
2016/4/3,,是,放假之紀念日及節日,
2016/4/4,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日(適逢兒童節與民族掃墓節同一日，於四月五日補假一日)。
2016/4/5,,是,補假,
2016/4/9,,是,星期六、星期日,
2016/4/10,,是,星期六、星期日,
2016/4/16,,是,星期六、星期日,
2016/4/17,,是,星期六、星期日,
2016/4/23,,是,星期六、星期日,
2016/4/24,,是,星期六、星期日,
2016/4/30,,是,星期六、星期日,
2016/5/1,勞動節,是,特定節日,勞工放假一日。
2016/5/7,,是,星期六、星期日,
2016/5/8,,是,星期六、星期日,
2016/5/14,,是,星期六、星期日,
2016/5/15,,是,星期六、星期日,
2016/5/21,,是,星期六、星期日,
2016/5/22,,是,星期六、星期日,
2016/5/28,,是,星期六、星期日,
2016/5/29,,是,星期六、星期日,
2016/6/4,,否,補行上班日,
2016/6/5,,是,星期六、星期日,
2016/6/9,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整六月十日為放假日，並於六月四日補行上班一日。
2016/6/10,,是,調整放假日,
2016/6/11,,是,星期六、星期日,
2016/6/12,,是,星期六、星期日,
2016/6/18,,是,星期六、星期日,
2016/6/19,,是,星期六、星期日,
2016/6/25,,是,星期六、星期日,
2016/6/26,,是,星期六、星期日,
2016/7/2,,是,星期六、星期日,
2016/7/3,,是,星期六、星期日,
2016/7/9,,是,星期六、星期日,
2016/7/10,,是,星期六、星期日,
2016/7/16,,是,星期六、星期日,
2016/7/17,,是,星期六、星期日,
2016/7/23,,是,星期六、星期日,
2016/7/24,,是,星期六、星期日,
2016/7/30,,是,星期六、星期日,
2016/7/31,,是,星期六、星期日,
2016/8/6,,是,星期六、星期日,
2016/8/7,,是,星期六、星期日,
2016/8/13,,是,星期六、星期日,
2016/8/14,,是,星期六、星期日,
2016/8/20,,是,星期六、星期日,
2016/8/21,,是,星期六、星期日,
2016/8/27,,是,星期六、星期日,
2016/8/28,,是,星期六、星期日,
2016/9/3,軍人節,是,特定節日,軍人依國防部規定辦理。
2016/9/4,,是,星期六、星期日,
2016/9/10,,否,補行上班日,
2016/9/11,,是,星期六、星期日,
2016/9/15,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整九月十六日為放假日，並於九月十日補行上班一日。
2016/9/16,,是,調整放假日,
2016/9/17,,是,星期六、星期日,
2016/9/18,,是,星期六、星期日,
2016/9/24,,是,星期六、星期日,
2016/9/25,,是,星期六、星期日,
2016/10/1,,是,星期六、星期日,
2016/10/2,,是,星期六、星期日,
2016/10/8,,是,星期六、星期日,
2016/10/9,,是,星期六、星期日,
2016/10/10,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
2016/10/15,,是,星期六、星期日,
2016/10/16,,是,星期六、星期日,
2016/10/22,,是,星期六、星期日,
2016/10/23,,是,星期六、星期日,
2016/10/29,,是,星期六、星期日,
2016/10/30,,是,星期六、星期日,
2016/11/5,,是,星期六、星期日,
2016/11/6,,是,星期六、星期日,
2016/11/12,,是,星期六、星期日,
2016/11/13,,是,星期六、星期日,
2016/11/19,,是,星期六、星期日,
2016/11/20,,是,星期六、星期日,
2016/11/26,,是,星期六、星期日,
2016/11/27,,是,星期六、星期日,
2016/12/3,,是,星期六、星期日,
2016/12/4,,是,星期六、星期日,
2016/12/10,,是,星期六、星期日,
2016/12/11,,是,星期六、星期日,
2016/12/17,,是,星期六、星期日,
2016/12/18,,是,星期六、星期日,
2016/12/24,,是,星期六、星期日,
2016/12/25,,是,星期六、星期日,
2016/12/31,,是,星期六、星期日,
